Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,129.57,130.72,128.87,129.92,129.92,45000000
2023-01-03,129.69,130.82,128.89,129.9,129.9,46600000
2023-01-04,129.87,130.98,128.97,129.94,129.94,48200000
2023-01-05,130.11,131.27,129.34,130.04,130.04,49800000
2023-01-06,130.41,131.21,129.4,130.2,130.2,51400000
2023-01-09,130.07,131.34,129.17,130.42,130.42,53000000
2023-01-10,130.49,131.74,129.79,130.7,130.7,52500000
2023-01-11,130.55,131.78,129.75,130.62,130.62,54100000
2023-01-12,130.67,131.47,129.7,130.6,130.6,55700000
2023-01-13,130.85,131.77,129.94,130.64,130.64,57300000
2023-01-16,130.39,131.78,129.59,130.74,130.74,58900000
2023-01-17,130.69,132.06,129.79,130.9,130.9,60500000
2023-01-18,131.05,131.92,130.35,131.12,131.12,60000000
2023-01-19,131.47,132.39,130.6,131.4,131.4,61600000
2023-01-20,131.53,132.57,130.42,131.32,131.32,63200000
2023-01-23,130.95,132.46,130.25,131.3,131.3,64800000
2023-01-24,131.13,132.14,130.33,131.34,131.34,66400000
2023-01-25,131.37,132.36,130.47,131.44,131.44,68000000
2023-01-26,131.67,132.71,130.9,131.6,131.6,67500000
2023-01-27,132.03,133.19,131.02,131.82,131.82,69100000
2023-01-30,131.75,132.9,130.85,132.1,132.1,45700000
2023-01-31,131.81,132.94,131.11,132.02,132.02,47300000
2023-02-01,131.93,133.04,131.13,132.0,132.0,48900000
2023-02-02,132.11,133.27,131.14,132.04,132.04,50500000
2023-02-03,132.35,133.15,131.44,132.14,132.14,50000000
2023-02-06,131.95,133.22,131.15,132.3,132.3,51600000
2023-02-07,132.31,133.56,131.41,132.52,132.52,53200000
2023-02-08,132.73,133.96,132.03,132.8,132.8,54800000
2023-02-09,132.79,133.59,131.92,132.72,132.72,56400000
2023-02-10,132.91,133.83,131.8,132.7,132.7,58000000
2023-02-13,132.39,133.78,131.69,132.74,132.74,57500000
2023-02-14,132.63,134.0,131.83,132.84,132.84,59100000
2023-02-15,132.93,133.8,132.03,133.0,133.0,60700000
2023-02-16,133.29,134.21,132.52,133.22,133.22,62300000
2023-02-17,133.71,134.75,132.7,133.5,133.5,63900000
2023-02-20,133.07,134.58,132.17,133.42,133.42,65500000
2023-02-21,133.19,134.2,132.49,133.4,133.4,65000000
2023-02-22,133.37,134.36,132.57,133.44,133.44,66600000
2023-02-23,133.61,134.65,132.64,133.54,133.54,68200000
2023-02-24,133.91,135.07,133.0,133.7,133.7,69800000
2023-02-27,133.57,134.72,132.77,133.92,133.92,46400000
2023-02-28,133.99,135.12,133.09,134.2,134.2,48000000
2023-03-01,134.05,135.16,133.35,134.12,134.12,47500000
2023-03-02,134.17,135.33,133.3,134.1,134.1,49100000
2023-03-03,134.35,135.15,133.24,134.14,134.14,50700000
2023-03-06,133.89,135.16,133.19,134.24,134.24,52300000
2023-03-07,134.19,135.44,133.39,134.4,134.4,53900000
2023-03-08,134.55,135.78,133.65,134.62,134.62,55500000
2023-03-09,134.97,135.77,134.2,134.9,134.9,55000000
2023-03-10,135.03,135.95,134.02,134.82,134.82,56600000
2023-03-13,134.45,135.84,133.55,134.8,134.8,58200000
2023-03-14,134.63,136.0,133.93,134.84,134.84,59800000
